Subfigure,Element,Attribute,Value
A,15,NewHireGiniCoefficient,0.417
A,16,TaxonomyLevel,Field
A,16,TaxonomyValue,Biological Sciences
A,16,OldHireGiniCoefficient,0.638
A,16,NewHireGiniCoefficient,0.45
A,17,TaxonomyLevel,Field
A,17,TaxonomyValue,Biomedical Engineering
A,17,OldHireGiniCoefficient,0.592
A,17,NewHireGiniCoefficient,0.449
A,18,TaxonomyLevel,Field
A,18,TaxonomyValue,Biophysics
A,18,OldHireGiniCoefficient,0.542
A,18,NewHireGiniCoefficient,0.167
A,19,TaxonomyLevel,Field
A,19,TaxonomyValue,Biostatistics
A,19,OldHireGiniCoefficient,0.655
A,19,NewHireGiniCoefficient,0.537
A,20,TaxonomyLevel,Field
A,20,TaxonomyValue,Business Administration
A,20,OldHireGiniCoefficient,0.62
A,20,NewHireGiniCoefficient,0.585
A,21,TaxonomyLevel,Field
A,21,TaxonomyValue,Cell Biology
A,21,OldHireGiniCoefficient,0.592
A,21,NewHireGiniCoefficient,0.273
A,22,TaxonomyLevel,Field
A,22,TaxonomyValue,Chemical Engineering
A,22,OldHireGiniCoefficient,0.633
A,22,NewHireGiniCoefficient,0.535
A,23,TaxonomyLevel,Field
A,23,TaxonomyValue,Chemistry
A,23,OldHireGiniCoefficient,0.672
A,23,NewHireGiniCoefficient,0.562
A,24,TaxonomyLevel,Field
A,24,TaxonomyValue,Civil Engineering
A,24,OldHireGiniCoefficient,0.649
A,24,NewHireGiniCoefficient,0.594
A,25,TaxonomyLevel,Field
A,25,TaxonomyValue,Classics and Classical Languages
A,25,OldHireGiniCoefficient,0.627
A,25,NewHireGiniCoefficient,0.523
A,26,TaxonomyLevel,Field
A,26,TaxonomyValue,Communication Disorders and Sciences
A,26,OldHireGiniCoefficient,0.541
A,26,NewHireGiniCoefficient,0.461
A,27,TaxonomyLevel,Field
A,27,TaxonomyValue,Comparative Literature
A,27,OldHireGiniCoefficient,0.576
A,27,NewHireGiniCoefficient,0.438
A,28,TaxonomyLevel,Field
A,28,TaxonomyValue,Computer Engineering
A,28,OldHireGiniCoefficient,0.641
A,28,NewHireGiniCoefficient,0.595
A,29,TaxonomyLevel,Field
A,29,TaxonomyValue,Computer Science
A,29,OldHireGiniCoefficient,0.658
A,29,NewHireGiniCoefficient,0.616
A,30,TaxonomyLevel,Field
A,30,TaxonomyValue,Counselor Education
A,30,OldHireGiniCoefficient,0.525
A,30,NewHireGiniCoefficient,0.451
A,31,TaxonomyLevel,Field
A,31,TaxonomyValue,Criminal Justice and Criminology
A,31,OldHireGiniCoefficient,0.544
A,31,NewHireGiniCoefficient,0.538
A,32,TaxonomyLevel,Field
A,32,TaxonomyValue,Curriculum and Instruction
A,32,OldHireGiniCoefficient,0.59
A,32,NewHireGiniCoefficient,0.552
A,33,TaxonomyLevel,Field
A,33,TaxonomyValue,Ecology
A,33,OldHireGiniCoefficient,0.577
A,33,NewHireGiniCoefficient,0.43
A,34,TaxonomyLevel,Field
A,34,TaxonomyValue,Economics
A,34,OldHireGiniCoefficient,0.665
A,34,NewHireGiniCoefficient,0.644
A,35,TaxonomyLevel,Field
A,35,TaxonomyValue,Education
A,35,OldHireGiniCoefficient,0.594
A,35,NewHireGiniCoefficient,0.512
A,36,TaxonomyLevel,Field
A,36,TaxonomyValue,Education Administration
A,36,OldHireGiniCoefficient,0.571
A,36,NewHireGiniCoefficient,0.548
A,37,TaxonomyLevel,Field
A,37,TaxonomyValue,Educational Psychology
A,37,OldHireGiniCoefficient,0.561
A,37,NewHireGiniCoefficient,0.47
A,38,TaxonomyLevel,Field
A,38,TaxonomyValue,Electrical Engineering
A,38,OldHireGiniCoefficient,0.656
A,38,NewHireGiniCoefficient,0.6
A,39,TaxonomyLevel,Field
A,39,TaxonomyValue,English Language and Literature
A,39,OldHireGiniCoefficient,0.635
A,39,NewHireGiniCoefficient,0.536
A,40,TaxonomyLevel,Field
A,40,TaxonomyValue,Entomology
A,40,OldHireGiniCoefficient,0.591
A,40,NewHireGiniCoefficient,0.38
A,41,TaxonomyLevel,Field
A,41,TaxonomyValue,Environmental Engineering
A,41,OldHireGiniCoefficient,0.649
A,41,NewHireGiniCoefficient,0.585
A,42,TaxonomyLevel,Field
A,42,TaxonomyValue,Environmental Health Sciences
A,42,OldHireGiniCoefficient,0.537
A,42,NewHireGiniCoefficient,0.388
A,43,TaxonomyLevel,Field
A,43,TaxonomyValue,Environmental Sciences
A,43,OldHireGiniCoefficient,0.58
A,43,NewHireGiniCoefficient,0.473
A,44,TaxonomyLevel,Field
A,44,TaxonomyValue,Epidemiology
A,44,OldHireGiniCoefficient,0.678
A,44,NewHireGiniCoefficient,0.572
A,45,TaxonomyLevel,Field
A,45,TaxonomyValue,Evolutionary Biology
A,45,OldHireGiniCoefficient,0.568
A,45,NewHireGiniCoefficient,0.423
A,46,TaxonomyLevel,Field
A,46,TaxonomyValue,"Exercise Science, Kinesiology, Rehab, Health"
A,46,OldHireGiniCoefficient,0.611
A,46,NewHireGiniCoefficient,0.57
A,47,TaxonomyLevel,Field
A,47,TaxonomyValue,Finance
A,47,OldHireGiniCoefficient,0.57
A,47,NewHireGiniCoefficient,0.49
A,48,TaxonomyLevel,Field
A,48,TaxonomyValue,Food Science
A,48,OldHireGiniCoefficient,0.625
A,48,NewHireGiniCoefficient,0.452
A,49,TaxonomyLevel,Field
A,49,TaxonomyValue,Forestry and Forest Resources
A,49,OldHireGiniCoefficient,0.622
A,49,NewHireGiniCoefficient,0.457
A,50,TaxonomyLevel,Field
A,50,TaxonomyValue,French Language and Literature
A,50,OldHireGiniCoefficient,0.583
A,50,NewHireGiniCoefficient,0.434
A,51,TaxonomyLevel,Field
A,51,TaxonomyValue,Gender Studies
A,51,OldHireGiniCoefficient,0.509
A,51,NewHireGiniCoefficient,0.369
A,52,TaxonomyLevel,Field
A,52,TaxonomyValue,Genetics
A,52,OldHireGiniCoefficient,0.541
A,52,NewHireGiniCoefficient,0.33
A,53,TaxonomyLevel,Field
A,53,TaxonomyValue,Geography
A,53,OldHireGiniCoefficient,0.579
A,53,NewHireGiniCoefficient,0.514
A,54,TaxonomyLevel,Field
A,54,TaxonomyValue,Geology
A,54,OldHireGiniCoefficient,0.609
A,54,NewHireGiniCoefficient,0.539
A,55,TaxonomyLevel,Field
A,55,TaxonomyValue,Germanic Languages and Literatures
A,55,OldHireGiniCoefficient,0.557
A,55,NewHireGiniCoefficient,0.441
A,56,TaxonomyLevel,Field
A,56,TaxonomyValue,"Health, Physical Education, Recreation"
A,56,OldHireGiniCoefficient,0.56
A,56,NewHireGiniCoefficient,0.482
A,57,TaxonomyLevel,Field
A,57,TaxonomyValue,History
A,57,OldHireGiniCoefficient,0.733
A,57,NewHireGiniCoefficient,0.65
A,58,TaxonomyLevel,Field
A,58,TaxonomyValue,Horticulture
A,58,OldHireGiniCoefficient,0.619
A,58,NewHireGiniCoefficient,0.39
A,59,TaxonomyLevel,Field
A,59,TaxonomyValue,Human Development and Family Sciences
A,59,OldHireGiniCoefficient,0.585
A,59,NewHireGiniCoefficient,0.477
A,60,TaxonomyLevel,Field
A,60,TaxonomyValue,Immunology
A,60,OldHireGiniCoefficient,0.551
A,60,NewHireGiniCoefficient,0.279
A,61,TaxonomyLevel,Field
A,61,TaxonomyValue,Industrial Engineering
A,61,OldHireGiniCoefficient,0.595
A,61,NewHireGiniCoefficient,0.54
A,62,TaxonomyLevel,Field
A,62,TaxonomyValue,Information Science
A,62,OldHireGiniCoefficient,0.567
A,62,NewHireGiniCoefficient,0.527
A,63,TaxonomyLevel,Field
A,63,TaxonomyValue,Information Technology
A,63,OldHireGiniCoefficient,0.534
A,63,NewHireGiniCoefficient,0.432
A,64,TaxonomyLevel,Field
A,64,TaxonomyValue,International Affairs
A,64,OldHireGiniCoefficient,0.634
A,64,NewHireGiniCoefficient,0.507
A,65,TaxonomyLevel,Field
A,65,TaxonomyValue,Linguistics
A,65,OldHireGiniCoefficient,0.607
A,65,NewHireGiniCoefficient,0.442
A,66,TaxonomyLevel,Field
A,66,TaxonomyValue,Management
A,66,OldHireGiniCoefficient,0.641
A,66,NewHireGiniCoefficient,0.528
A,67,TaxonomyLevel,Field
A,67,TaxonomyValue,Management Information Systems
A,67,OldHireGiniCoefficient,0.524
A,67,NewHireGiniCoefficient,0.473
A,68,TaxonomyLevel,Field
A,68,TaxonomyValue,Marine Sciences
A,68,OldHireGiniCoefficient,0.604
A,68,NewHireGiniCoefficient,0.379
A,69,TaxonomyLevel,Field
A,69,TaxonomyValue,Marketing
A,69,OldHireGiniCoefficient,0.556
A,69,NewHireGiniCoefficient,0.414
A,70,TaxonomyLevel,Field
A,70,TaxonomyValue,Materials Engineering
A,70,OldHireGiniCoefficient,0.622
A,70,NewHireGiniCoefficient,0.513
A,71,TaxonomyLevel,Field
A,71,TaxonomyValue,Mathematics
A,71,OldHireGiniCoefficient,0.683
A,71,NewHireGiniCoefficient,0.589
A,72,TaxonomyLevel,Field
A,72,TaxonomyValue,Mechanical Engineering
A,72,OldHireGiniCoefficient,0.659
A,72,NewHireGiniCoefficient,0.643
A,73,TaxonomyLevel,Field
A,73,TaxonomyValue,Microbiology
A,73,OldHireGiniCoefficient,0.562
A,73,NewHireGiniCoefficient,0.327
A,74,TaxonomyLevel,Field
A,74,TaxonomyValue,Molecular Biology
A,74,OldHireGiniCoefficient,0.604
A,74,NewHireGiniCoefficient,0.281
A,75,TaxonomyLevel,Field
A,75,TaxonomyValue,Music
A,75,OldHireGiniCoefficient,0.663
A,75,NewHireGiniCoefficient,0.582
A,76,TaxonomyLevel,Field
A,76,TaxonomyValue,Natural Resources
A,76,OldHireGiniCoefficient,0.599
A,76,NewHireGiniCoefficient,0.408
A,77,TaxonomyLevel,Field
A,77,TaxonomyValue,Near and Middle Eastern Languages and Cultures
A,77,OldHireGiniCoefficient,0.613
A,77,NewHireGiniCoefficient,0.434
A,78,TaxonomyLevel,Field
A,78,TaxonomyValue,Neuroscience
A,78,OldHireGiniCoefficient,0.596
A,78,NewHireGiniCoefficient,0.26
A,79,TaxonomyLevel,Field
A,79,TaxonomyValue,Nursing
A,79,OldHireGiniCoefficient,0.627
A,79,NewHireGiniCoefficient,0.548
A,80,TaxonomyLevel,Field
A,80,TaxonomyValue,Nutrition Sciences
A,80,OldHireGiniCoefficient,0.576
A,80,NewHireGiniCoefficient,0.452
A,81,TaxonomyLevel,Field
A,81,TaxonomyValue,Operations Research
A,81,OldHireGiniCoefficient,0.539
A,81,NewHireGiniCoefficient,0.495
A,82,TaxonomyLevel,Field
A,82,TaxonomyValue,Pathology
A,82,OldHireGiniCoefficient,0.543
A,82,NewHireGiniCoefficient,0.384
A,83,TaxonomyLevel,Field
A,83,TaxonomyValue,Pharmaceutical Sciences
A,83,OldHireGiniCoefficient,0.592
A,83,NewHireGiniCoefficient,0.378
A,84,TaxonomyLevel,Field
A,84,TaxonomyValue,Pharmacology
A,84,OldHireGiniCoefficient,0.539
A,84,NewHireGiniCoefficient,0.243
A,85,TaxonomyLevel,Field
A,85,TaxonomyValue,Pharmacy
A,85,OldHireGiniCoefficient,0.617
A,85,NewHireGiniCoefficient,0.458
A,86,TaxonomyLevel,Field
A,86,TaxonomyValue,Philosophy
A,86,OldHireGiniCoefficient,0.636
A,86,NewHireGiniCoefficient,0.558
A,87,TaxonomyLevel,Field
A,87,TaxonomyValue,Physics
A,87,OldHireGiniCoefficient,0.704
A,87,NewHireGiniCoefficient,0.559
A,88,TaxonomyLevel,Field
A,88,TaxonomyValue,Physiology
A,88,OldHireGiniCoefficient,0.554
A,88,NewHireGiniCoefficient,0.233
A,89,TaxonomyLevel,Field
A,89,TaxonomyValue,Plant Pathology
A,89,OldHireGiniCoefficient,0.621
A,89,NewHireGiniCoefficient,0.353
A,90,TaxonomyLevel,Field
A,90,TaxonomyValue,Plant Sciences
A,90,OldHireGiniCoefficient,0.597
A,90,NewHireGiniCoefficient,0.388
A,91,TaxonomyLevel,Field
A,91,TaxonomyValue,Political Science
A,91,OldHireGiniCoefficient,0.668
A,91,NewHireGiniCoefficient,0.611
A,92,TaxonomyLevel,Field
A,92,TaxonomyValue,Psychology
A,92,OldHireGiniCoefficient,0.596
A,92,NewHireGiniCoefficient,0.532
A,93,TaxonomyLevel,Field
A,93,TaxonomyValue,Public Health
A,93,OldHireGiniCoefficient,0.66
A,93,NewHireGiniCoefficient,0.588
A,94,TaxonomyLevel,Field
A,94,TaxonomyValue,Religious Studies
A,94,OldHireGiniCoefficient,0.649
A,94,NewHireGiniCoefficient,0.546
A,95,TaxonomyLevel,Field
A,95,TaxonomyValue,Slavic Languages and Literatures
A,95,OldHireGiniCoefficient,0.575
A,95,NewHireGiniCoefficient,0.416
A,96,TaxonomyLevel,Field
A,96,TaxonomyValue,Social Work
A,96,OldHireGiniCoefficient,0.633
A,96,NewHireGiniCoefficient,0.588
A,97,TaxonomyLevel,Field
A,97,TaxonomyValue,Sociology
A,97,OldHireGiniCoefficient,0.622
A,97,NewHireGiniCoefficient,0.581
A,98,TaxonomyLevel,Field
A,98,TaxonomyValue,Soil Science
A,98,OldHireGiniCoefficient,0.578
A,98,NewHireGiniCoefficient,0.428
A,99,TaxonomyLevel,Field
A,99,TaxonomyValue,Spanish Language and Literature
A,99,OldHireGiniCoefficient,0.535
A,99,NewHireGiniCoefficient,0.442
A,100,TaxonomyLevel,Field
A,100,TaxonomyValue,Special Education
A,100,OldHireGiniCoefficient,0.539
A,100,NewHireGiniCoefficient,0.461
A,101,TaxonomyLevel,Field
A,101,TaxonomyValue,Speech and Hearing Sciences
A,101,OldHireGiniCoefficient,0.528
A,101,NewHireGiniCoefficient,0.406
A,102,TaxonomyLevel,Field
A,102,TaxonomyValue,Statistics
A,102,OldHireGiniCoefficient,0.593
A,102,NewHireGiniCoefficient,0.562
A,103,TaxonomyLevel,Field
A,103,TaxonomyValue,Systems Engineering
A,103,OldHireGiniCoefficient,0.548
A,103,NewHireGiniCoefficient,0.481
A,104,TaxonomyLevel,Field
A,104,TaxonomyValue,"Theatre Literature, History and Criticism"
A,104,OldHireGiniCoefficient,0.534
A,104,NewHireGiniCoefficient,0.379
A,105,TaxonomyLevel,Field
A,105,TaxonomyValue,Theological Studies
A,105,OldHireGiniCoefficient,0.66
A,105,NewHireGiniCoefficient,0.521
A,106,TaxonomyLevel,Field
A,106,TaxonomyValue,Urban and Regional Planning
A,106,OldHireGiniCoefficient,0.584
A,106,NewHireGiniCoefficient,0.492
A,107,TaxonomyLevel,Field
A,107,TaxonomyValue,Veterinary Medical Sciences
A,107,OldHireGiniCoefficient,0.733
A,107,NewHireGiniCoefficient,0.546
A,108,TaxonomyLevel,Umbrella
A,108,TaxonomyValue,Applied Sciences
A,108,OldHireGiniCoefficient,0.723
A,108,NewHireGiniCoefficient,0.652
A,109,TaxonomyLevel,Umbrella
A,109,TaxonomyValue,Education
A,109,OldHireGiniCoefficient,0.661
A,109,NewHireGiniCoefficient,0.634
A,110,TaxonomyLevel,Umbrella
A,110,TaxonomyValue,Engineering
A,110,OldHireGiniCoefficient,0.717
A,110,NewHireGiniCoefficient,0.682
A,111,TaxonomyLevel,Umbrella
A,111,TaxonomyValue,Humanities
A,111,OldHireGiniCoefficient,0.765
A,111,NewHireGiniCoefficient,0.717
A,112,TaxonomyLevel,Umbrella
A,112,TaxonomyValue,Mathematics and Computing
A,112,OldHireGiniCoefficient,0.712
A,112,NewHireGiniCoefficient,0.655
A,113,TaxonomyLevel,Umbrella
A,113,TaxonomyValue,Medicine and Health
A,113,OldHireGiniCoefficient,0.671
A,113,NewHireGiniCoefficient,0.616
A,114,TaxonomyLevel,Umbrella
A,114,TaxonomyValue,Natural Sciences
A,114,OldHireGiniCoefficient,0.703
A,114,NewHireGiniCoefficient,0.654
A,115,TaxonomyLevel,Umbrella
A,115,TaxonomyValue,Social Sciences
A,115,OldHireGiniCoefficient,0.723
A,115,NewHireGiniCoefficient,0.672
B,0,TaxonomyLevel,Academia
B,0,TaxonomyValue,Academia
B,0,Year,2011
B,0,GiniCoefficient,0.767
B,1,TaxonomyLevel,Academia
B,1,TaxonomyValue,Academia
B,1,Year,2012
B,1,GiniCoefficient,0.767
B,2,TaxonomyLevel,Academia
B,2,TaxonomyValue,Academia
B,2,Year,2013
B,2,GiniCoefficient,0.768
B,3,TaxonomyLevel,Academia
B,3,TaxonomyValue,Academia
B,3,Year,2014
B,3,GiniCoefficient,0.767
B,4,TaxonomyLevel,Academia
B,4,TaxonomyValue,Academia
B,4,Year,2015
B,4,GiniCoefficient,0.766
B,5,TaxonomyLevel,Academia
B,5,TaxonomyValue,Academia
B,5,Year,2016
B,5,GiniCoefficient,0.765
B,6,TaxonomyLevel,Academia
B,6,TaxonomyValue,Academia
B,6,Year,2017
B,6,GiniCoefficient,0.765
B,7,TaxonomyLevel,Academia
B,7,TaxonomyValue,Academia
B,7,Year,2018
B,7,GiniCoefficient,0.765
B,8,TaxonomyLevel,Academia
B,8,TaxonomyValue,Academia
B,8,Year,2019
B,8,GiniCoefficient,0.765
B,9,TaxonomyLevel,Academia
B,9,TaxonomyValue,Academia
B,9,Year,2020
B,9,GiniCoefficient,0.764
B,10,TaxonomyLevel,Umbrella
B,10,TaxonomyValue,Applied Sciences
B,10,Year,2011
B,10,GiniCoefficient,0.705
B,11,TaxonomyLevel,Umbrella
B,11,TaxonomyValue,Applied Sciences
B,11,Year,2012
B,11,GiniCoefficient,0.709
B,12,TaxonomyLevel,Umbrella
B,12,TaxonomyValue,Applied Sciences
B,12,Year,2013
B,12,GiniCoefficient,0.706
B,13,TaxonomyLevel,Umbrella
B,13,TaxonomyValue,Applied Sciences
B,13,Year,2014
B,13,GiniCoefficient,0.707
B,14,TaxonomyLevel,Umbrella
B,14,TaxonomyValue,Applied Sciences
B,14,Year,2015
B,14,GiniCoefficient,0.709
B,15,TaxonomyLevel,Umbrella
B,15,TaxonomyValue,Applied Sciences
B,15,Year,2016
B,15,GiniCoefficient,0.708
B,16,TaxonomyLevel,Umbrella
B,16,TaxonomyValue,Applied Sciences
B,16,Year,2017
B,16,GiniCoefficient,0.708
B,17,TaxonomyLevel,Umbrella
B,17,TaxonomyValue,Applied Sciences
B,17,Year,2018
B,17,GiniCoefficient,0.709
B,18,TaxonomyLevel,Umbrella
B,18,TaxonomyValue,Applied Sciences
B,18,Year,2019
B,18,GiniCoefficient,0.711
B,19,TaxonomyLevel,Umbrella
B,19,TaxonomyValue,Applied Sciences
B,19,Year,2020
B,19,GiniCoefficient,0.712
B,20,TaxonomyLevel,Umbrella
B,20,TaxonomyValue,Education
B,20,Year,2011
B,20,GiniCoefficient,0.64
B,21,TaxonomyLevel,Umbrella
B,21,TaxonomyValue,Education
B,21,Year,2012
B,21,GiniCoefficient,0.645
B,22,TaxonomyLevel,Umbrella
B,22,TaxonomyValue,Education
B,22,Year,2013
B,22,GiniCoefficient,0.657
B,23,TaxonomyLevel,Umbrella
B,23,TaxonomyValue,Education
B,23,Year,2014
B,23,GiniCoefficient,0.653
B,24,TaxonomyLevel,Umbrella
B,24,TaxonomyValue,Education
B,24,Year,2015
B,24,GiniCoefficient,0.652
B,25,TaxonomyLevel,Umbrella
B,25,TaxonomyValue,Education
B,25,Year,2016
B,25,GiniCoefficient,0.656
B,26,TaxonomyLevel,Umbrella
B,26,TaxonomyValue,Education
B,26,Year,2017
B,26,GiniCoefficient,0.657
B,27,TaxonomyLevel,Umbrella
B,27,TaxonomyValue,Education
B,27,Year,2018
B,27,GiniCoefficient,0.664
B,28,TaxonomyLevel,Umbrella
B,28,TaxonomyValue,Education
B,28,Year,2019
B,28,GiniCoefficient,0.665
B,29,TaxonomyLevel,Umbrella
B,29,TaxonomyValue,Education
B,29,Year,2020
B,29,GiniCoefficient,0.665
B,30,TaxonomyLevel,Umbrella
B,30,TaxonomyValue,Engineering
B,30,Year,2011
B,30,GiniCoefficient,0.714
B,31,TaxonomyLevel,Umbrella
B,31,TaxonomyValue,Engineering
B,31,Year,2012
B,31,GiniCoefficient,0.716
B,32,TaxonomyLevel,Umbrella
B,32,TaxonomyValue,Engineering
B,32,Year,2013
B,32,GiniCoefficient,0.716
B,33,TaxonomyLevel,Umbrella
B,33,TaxonomyValue,Engineering
B,33,Year,2014
B,33,GiniCoefficient,0.713
B,34,TaxonomyLevel,Umbrella
B,34,TaxonomyValue,Engineering
B,34,Year,2015
B,34,GiniCoefficient,0.712
B,35,TaxonomyLevel,Umbrella
B,35,TaxonomyValue,Engineering
B,35,Year,2016
B,35,GiniCoefficient,0.716
B,36,TaxonomyLevel,Umbrella
B,36,TaxonomyValue,Engineering
B,36,Year,2017
B,36,GiniCoefficient,0.721
B,37,TaxonomyLevel,Umbrella
B,37,TaxonomyValue,Engineering
B,37,Year,2018
B,37,GiniCoefficient,0.722
B,38,TaxonomyLevel,Umbrella
B,38,TaxonomyValue,Engineering
B,38,Year,2019
B,38,GiniCoefficient,0.72
B,39,TaxonomyLevel,Umbrella
B,39,TaxonomyValue,Engineering
B,39,Year,2020
B,39,GiniCoefficient,0.723
B,40,TaxonomyLevel,Umbrella
B,40,TaxonomyValue,Humanities
B,40,Year,2011
B,40,GiniCoefficient,0.751
B,41,TaxonomyLevel,Umbrella
B,41,TaxonomyValue,Humanities
B,41,Year,2012
B,41,GiniCoefficient,0.752
B,42,TaxonomyLevel,Umbrella
B,42,TaxonomyValue,Humanities
B,42,Year,2013
B,42,GiniCoefficient,0.756
B,43,TaxonomyLevel,Umbrella
B,43,TaxonomyValue,Humanities
B,43,Year,2014
B,43,GiniCoefficient,0.76
B,44,TaxonomyLevel,Umbrella
B,44,TaxonomyValue,Humanities
B,44,Year,2015
B,44,GiniCoefficient,0.761
B,45,TaxonomyLevel,Umbrella
B,45,TaxonomyValue,Humanities
B,45,Year,2016
B,45,GiniCoefficient,0.764
B,46,TaxonomyLevel,Umbrella
B,46,TaxonomyValue,Humanities
B,46,Year,2017
B,46,GiniCoefficient,0.766
B,47,TaxonomyLevel,Umbrella
B,47,TaxonomyValue,Humanities
B,47,Year,2018
B,47,GiniCoefficient,0.767
B,48,TaxonomyLevel,Umbrella
B,48,TaxonomyValue,Humanities
B,48,Year,2019
B,48,GiniCoefficient,0.766
B,49,TaxonomyLevel,Umbrella
B,49,TaxonomyValue,Humanities
B,49,Year,2020
B,49,GiniCoefficient,0.764
B,50,TaxonomyLevel,Umbrella
B,50,TaxonomyValue,Mathematics and Computing
B,50,Year,2011
B,50,GiniCoefficient,0.704
B,51,TaxonomyLevel,Umbrella
B,51,TaxonomyValue,Mathematics and Computing
B,51,Year,2012
B,51,GiniCoefficient,0.703
B,52,TaxonomyLevel,Umbrella
B,52,TaxonomyValue,Mathematics and Computing
B,52,Year,2013
B,52,GiniCoefficient,0.708
B,53,TaxonomyLevel,Umbrella
B,53,TaxonomyValue,Mathematics and Computing
B,53,Year,2014
B,53,GiniCoefficient,0.706
B,54,TaxonomyLevel,Umbrella
B,54,TaxonomyValue,Mathematics and Computing
B,54,Year,2015
B,54,GiniCoefficient,0.71
B,55,TaxonomyLevel,Umbrella
B,55,TaxonomyValue,Mathematics and Computing
B,55,Year,2016
B,55,GiniCoefficient,0.71
B,56,TaxonomyLevel,Umbrella
B,56,TaxonomyValue,Mathematics and Computing
B,56,Year,2017
B,56,GiniCoefficient,0.71
B,57,TaxonomyLevel,Umbrella
B,57,TaxonomyValue,Mathematics and Computing
B,57,Year,2018
B,57,GiniCoefficient,0.706
B,58,TaxonomyLevel,Umbrella
B,58,TaxonomyValue,Mathematics and Computing
B,58,Year,2019
B,58,GiniCoefficient,0.71
B,59,TaxonomyLevel,Umbrella
B,59,TaxonomyValue,Mathematics and Computing
B,59,Year,2020
B,59,GiniCoefficient,0.71
B,60,TaxonomyLevel,Umbrella
B,60,TaxonomyValue,Medicine and Health
B,60,Year,2011
B,60,GiniCoefficient,0.67
B,61,TaxonomyLevel,Umbrella
B,61,TaxonomyValue,Medicine and Health
B,61,Year,2012
B,61,GiniCoefficient,0.667
B,62,TaxonomyLevel,Umbrella
B,62,TaxonomyValue,Medicine and Health
B,62,Year,2013
B,62,GiniCoefficient,0.67
B,63,TaxonomyLevel,Umbrella
B,63,TaxonomyValue,Medicine and Health
B,63,Year,2014
B,63,GiniCoefficient,0.668
B,64,TaxonomyLevel,Umbrella
B,64,TaxonomyValue,Medicine and Health
B,64,Year,2015
B,64,GiniCoefficient,0.668
B,65,TaxonomyLevel,Umbrella
B,65,TaxonomyValue,Medicine and Health
B,65,Year,2016
B,65,GiniCoefficient,0.668
B,66,TaxonomyLevel,Umbrella
B,66,TaxonomyValue,Medicine and Health
B,66,Year,2017
B,66,GiniCoefficient,0.665
B,67,TaxonomyLevel,Umbrella
B,67,TaxonomyValue,Medicine and Health
B,67,Year,2018
B,67,GiniCoefficient,0.665
B,68,TaxonomyLevel,Umbrella
B,68,TaxonomyValue,Medicine and Health
B,68,Year,2019
B,68,GiniCoefficient,0.671
B,69,TaxonomyLevel,Umbrella
B,69,TaxonomyValue,Medicine and Health
B,69,Year,2020
B,69,GiniCoefficient,0.672
B,70,TaxonomyLevel,Umbrella
B,70,TaxonomyValue,Natural Sciences
B,70,Year,2011
B,70,GiniCoefficient,0.71
